corpus,rule,accuracy,balanced_accuracy,macro_f1,fake_recall,real_recall
PolitiFact,predict fake iff a predeclared style cue is present,0.6194871794871795,0.5683422459893048,0.5105375325597916,0.16941176470588235,0.9672727272727273
GossipCop,predict fake iff a predeclared style cue is present,0.7798125030358964,0.5620951255314817,0.5594559594352797,0.15680100755667506,0.9673892435062883
