model,model_name,pipeline,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
nb,Multinomial NB,fixed,0.9347475215097187,0.0021850518700195485,0.9344074517174799,0.0022658565954317106,0.9343832287719371,0.002205699958007881
nb,Multinomial NB,selected,0.9379538382043942,0.003076530711297744,0.9376782829784173,0.0029503207874853046,0.9376131102273313,0.00307298786933853
lr,Logistic Regression,fixed,0.9368160784606616,0.0025058398192410636,0.9348416478002864,0.0026782644602431653,0.936222979413485,0.0025533645095073615
lr,Logistic Regression,selected,0.9468209035317747,0.003115186817324442,0.9457335333706632,0.003249487905433877,0.9464302831928304,0.0031498947254610388
svm,Linear SVM,fixed,0.9418314979027549,0.0019061814801024184,0.9406633933449754,0.002014061765154842,0.9413975164913687,0.0019327416768750707
svm,Linear SVM,selected,0.9465364819982843,0.003036170413285926,0.9455778712498197,0.0031881104625739636,0.9461594917999211,0.003071390135497806
rf,Random Forest,fixed,0.9256744966548537,0.0026138918794755567,0.9235613016292572,0.0027509067796463913,0.9249622463138879,0.0026606584699647067
rf,Random Forest,selected,0.9256744966548537,0.0026138918794755567,0.9235613016292572,0.0027509067796463913,0.9249622463138879,0.0026606584699647067
