corpus,diagnostic,n,fake_n,real_n,folds,seed,unseen_hostname_fallback,accuracy,balanced_accuracy,macro_f1,fake_recall,real_recall,true_fake_pred_fake,true_fake_pred_real,true_real_pred_fake,true_real_pred_real,bootstrap_resamples,accuracy_bootstrap_95_low,accuracy_bootstrap_95_high,balanced_accuracy_bootstrap_95_low,balanced_accuracy_bootstrap_95_high,macro_f1_bootstrap_95_low,macro_f1_bootstrap_95_high
PolitiFact,five_fold_out_of_fold_hostname_majority,975,425,550,5,42,training_fold_majority_class,0.6943589743589743,0.6510160427807486,0.628311995333272,0.3129411764705882,0.9890909090909091,133,292,6,544,2000,0.6748717948717948,0.7138461538461538,0.6286631016042781,0.6725668449197861,0.5963629240262496,0.6571161360330622
GossipCop,five_fold_out_of_fold_hostname_majority,20587,4764,15823,5,42,training_fold_majority_class,0.8478165832807111,0.7084436399775794,0.7422280734672402,0.44899244332493704,0.9678948366302218,2139,2625,508,15315,2000,0.8439792101811823,0.8516551707388158,0.7015874913698151,0.7155830221200176,0.7349189128542797,0.7499104547804014
