corpus,population,model,n,fake_n,real_n,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,fake_recall,real_recall,accuracy_bootstrap_95_low,accuracy_bootstrap_95_high,balanced_accuracy_bootstrap_95_low,balanced_accuracy_bootstrap_95_high,macro_f1_bootstrap_95_low,macro_f1_bootstrap_95_high,fake_recall_bootstrap_95_low,fake_recall_bootstrap_95_high,real_recall_bootstrap_95_low,real_recall_bootstrap_95_high,true_fake_pred_fake,true_fake_pred_real,true_real_pred_fake,true_real_pred_real
PolitiFact,nonempty_all_rows,linear_svm,1053,431,622,0.6704653371320038,0.6793816817242486,0.6736717034554489,0.6793816817242486,0.6686472148541114,0.728538283062645,0.6302250803858521,0.6419753086419753,0.7008547008547008,0.6513543897016584,0.7092065114405295,0.6405553318662428,0.6983577219689181,0.6867749419953596,0.7726218097447796,0.5932475884244373,0.6688102893890675,314,117,230,392
PolitiFact,same_label_deduplicated_conflicts_retained,linear_svm,979,427,552,0.6751787538304392,0.681727929946034,0.6793313069908815,0.681727929946034,0.6747630628823589,0.7330210772833724,0.6304347826086957,0.644535240040858,0.7027579162410623,0.6511420574109901,0.7095217942843566,0.6444899129383304,0.7021002274331425,0.6908665105386417,0.7728337236533958,0.5887681159420289,0.6702898550724637,313,114,204,348
PolitiFact,main_unique_nonconflicting,linear_svm,975,425,550,0.6758974358974359,0.6827807486631017,0.6804371880094262,0.6827807486631017,0.6755257304620361,0.7364705882352941,0.6290909090909091,0.6461538461538462,0.7036153846153844,0.653312834224599,0.7113409090909091,0.6456092590590762,0.7035244555346903,0.6941176470588235,0.7788235294117647,0.5890909090909091,0.6690909090909091,313,112,204,346
GossipCop,nonempty_all_rows,linear_svm,22140,5323,16817,0.44074074074074077,0.515594101676297,0.5123025973137447,0.515594101676297,0.4320805282824135,0.659778320495961,0.3714098828566332,0.43441734417344174,0.4468394308943089,0.5085000458181685,0.5224357107643517,0.42621857766668236,0.437748909135913,0.6473746007890288,0.6718016156302836,0.36415383243146815,0.37866593328179815,3512,1811,10571,6246
GossipCop,same_label_deduplicated_conflicts_retained,linear_svm,20831,4886,15945,0.436320867937209,0.5152551873528619,0.5118960194472978,0.5152551873528619,0.4273936397839001,0.6639377814162915,0.3665725932894324,0.4297441313427104,0.4425159617877202,0.5076763145788576,0.5229137163643393,0.42119285500227394,0.4333171932650247,0.650225133033156,0.6766270978305362,0.3589840075258702,0.3737848855440577,3244,1642,10100,5845
GossipCop,main_unique_nonconflicting,linear_svm,20587,4764,15823,0.43556613396803806,0.5161063818768001,0.5124528381812034,0.5161063818768001,0.4262666683243998,0.6660369437447523,0.36617582000884785,0.4291045319862049,0.4416877155486472,0.5082587940993759,0.5235192314692664,0.4200548133695297,0.43210898333647985,0.6525976070528967,0.6788413098236776,0.35859192314984517,0.3735716994248878,3173,1591,10029,5794
