corpus,model,model_name,pipeline,ngram_max,min_df,C,accuracy,balanced_accuracy,macro_f1,fake_recall,real_recall
PolitiFact,svm,Linear SVM,fixed,1,2,1.0,0.6758974358974359,0.6827807486631017,0.6755257304620361,0.7364705882352941,0.6290909090909091
PolitiFact,svm,Linear SVM,selected,2,2,1.0,0.6615384615384615,0.6692513368983957,0.6613157894736843,0.7294117647058823,0.6090909090909091
GossipCop,svm,Linear SVM,fixed,1,2,1.0,0.43556613396803806,0.5161063818768001,0.4262666683243998,0.6660369437447523,0.36617582000884785
GossipCop,svm,Linear SVM,selected,2,2,1.0,0.43124301743818916,0.5097730161214056,0.4218213748579952,0.6559613769941226,0.3635846552486886
