corpus,model,n,fake_n,real_n,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,fake_recall,real_recall,accuracy_bootstrap_95_low,accuracy_bootstrap_95_high,balanced_accuracy_bootstrap_95_low,balanced_accuracy_bootstrap_95_high,macro_f1_bootstrap_95_low,macro_f1_bootstrap_95_high,fake_recall_bootstrap_95_low,fake_recall_bootstrap_95_high,real_recall_bootstrap_95_low,real_recall_bootstrap_95_high,true_fake_pred_fake,true_fake_pred_real,true_real_pred_fake,true_real_pred_real
PolitiFact,multinomial_nb,975,425,550,0.6205128205128205,0.6395721925133689,0.6473577235772358,0.6395721925133689,0.6188186813186813,0.788235294117647,0.4909090909090909,0.5917948717948718,0.6492564102564101,0.6109077540106951,0.6679157754010696,0.5892106809690543,0.6484171113471017,0.7505882352941177,0.8258823529411765,0.4490909090909091,0.5327272727272727,335,90,280,270
GossipCop,multinomial_nb,20587,4764,15823,0.31170155923641135,0.5015463028157897,0.5021881133809596,0.5015463028157897,0.30681216801844546,0.8549538203190596,0.14813878531251976,0.30679555059017827,0.3166075678826444,0.4956532650328919,0.5072138941811315,0.30155004193653,0.31206997504172374,0.845088161209068,0.8648194794290512,0.1425124818302471,0.15376508879479237,4073,691,13479,2344
PolitiFact,logistic_regression,975,425,550,0.6676923076923077,0.670427807486631,0.6676267378059043,0.670427807486631,0.6662990568907818,0.691764705882353,0.649090909090909,0.637948717948718,0.6974358974358974,0.641114973262032,0.700375668449198,0.6369343995524209,0.6963640892205093,0.6447058823529411,0.7341176470588235,0.6072727272727273,0.6890909090909091,294,131,193,357
GossipCop,logistic_regression,20587,4764,15823,0.4523242823140817,0.4996470983343073,0.4997408546998156,0.4996470983343073,0.4339204936036081,0.5877413937867338,0.4115528028818808,0.44562102297566425,0.4588818186234031,0.4915163146644346,0.5077499239461225,0.4274514534698629,0.44032667493713784,0.5736775818639799,0.6018104534005038,0.40415692346584087,0.41894710231940846,2800,1964,9311,6512
PolitiFact,linear_svm,975,425,550,0.6758974358974359,0.6827807486631017,0.6804371880094262,0.6827807486631017,0.6755257304620361,0.7364705882352941,0.6290909090909091,0.6471794871794871,0.7056410256410256,0.6545882352941176,0.712355614973262,0.6471474910950001,0.7053591348312979,0.6964705882352941,0.7788235294117647,0.5872727272727273,0.6690909090909091,313,112,204,346
GossipCop,linear_svm,20587,4764,15823,0.43556613396803806,0.5161063818768001,0.5124528381812034,0.5161063818768001,0.4262666683243998,0.6660369437447523,0.36617582000884785,0.42915310632923687,0.44222203332199933,0.5085732816254522,0.5235845355895267,0.42030817797771397,0.43249395249795997,0.6528127623845508,0.6786314021830394,0.3585287240093535,0.3736980977058712,3173,1591,10029,5794
PolitiFact,random_forest,975,425,550,0.5876923076923077,0.5995187165775402,0.6004208935894668,0.5995187165775402,0.587594696969697,0.691764705882353,0.5072727272727273,0.558974358974359,0.6174358974358974,0.5708542780748663,0.6286644385026738,0.5587636298494769,0.6170756207149583,0.6494117647058824,0.7341176470588235,0.4654090909090909,0.5490909090909091,294,131,271,279
GossipCop,random_forest,20587,4764,15823,0.37120512945062417,0.48993476081672394,0.49099184983929056,0.48993476081672394,0.3700853434473769,0.7109571788413098,0.26891234279213805,0.3651321222130471,0.37713119930052946,0.48283506071017684,0.4966552761956325,0.364126876967233,0.3758192610690105,0.6983574727120068,0.7233417296389588,0.26215003475952725,0.2757394299437528,3387,1377,11568,4255
PolitiFact,majority_class_reference,975,425,550,0.5641025641025641,0.5,0.28205128205128205,0.5,0.36065573770491804,0.0,1.0,0.5641025641025641,0.5641025641025641,0.5,0.5,0.36065573770491804,0.36065573770491804,0.0,0.0,1.0,1.0,0,425,0,550
GossipCop,majority_class_reference,20587,4764,15823,0.768591829795502,0.5,0.384295914897751,0.5,0.43457841252403184,0.0,1.0,0.768591829795502,0.768591829795502,0.5,0.5,0.4345784125240319,0.4345784125240319,0.0,0.0,1.0,1.0,0,4764,0,15823
