corpus,model,metric,fixed,selected,selected_minus_fixed,ci95_lower,ci95_upper,resamples,seed,bootstrap
GossipCop,lr,accuracy,0.4523242823140817,0.4344489240783018,-0.017875358235779903,-0.021615582649244625,-0.014037985136251041,2000,4211,paired class-stratified percentile
GossipCop,lr,balanced_accuracy,0.4996470983343073,0.5066504360024331,0.007003337668125775,0.0023485564727302732,0.0117073941946363,2000,4211,paired class-stratified percentile
GossipCop,lr,macro_f1,0.4339204936036082,0.42350888323064684,-0.010411610372961344,-0.014072959333896806,-0.006755704096734272,2000,4211,paired class-stratified percentile
GossipCop,nb,accuracy,0.31170155923641135,0.31631612182445235,0.0046145625880409935,0.0021858454364405144,0.006994705396609513,2000,4211,paired class-stratified percentile
GossipCop,nb,balanced_accuracy,0.5015463028157897,0.5014673834860699,-7.891932971981763e-05,-0.003005401198332079,0.0027154043341449936,2000,4211,paired class-stratified percentile
GossipCop,nb,macro_f1,0.30681216801844546,0.31241848418716767,0.005606316168722203,0.0030330662041313447,0.008107547459915416,2000,4211,paired class-stratified percentile
GossipCop,rf,accuracy,0.37120512945062417,0.37120512945062417,0.0,0.0,0.0,2000,4211,paired class-stratified percentile
GossipCop,rf,balanced_accuracy,0.48993476081672394,0.48993476081672394,0.0,0.0,0.0,2000,4211,paired class-stratified percentile
GossipCop,rf,macro_f1,0.3700853434473769,0.3700853434473769,0.0,0.0,0.0,2000,4211,paired class-stratified percentile
GossipCop,svm,accuracy,0.43556613396803806,0.43124301743818916,-0.004323116529848903,-0.008210278330985579,-0.0003400204012241045,2000,4211,paired class-stratified percentile
GossipCop,svm,balanced_accuracy,0.5161063818768001,0.5097730161214056,-0.00633336575539456,-0.010990906440968798,-0.0019169712801561983,2000,4211,paired class-stratified percentile
GossipCop,svm,macro_f1,0.4262666683243998,0.4218213748579952,-0.0044452934664045984,-0.008083532604293616,-0.0007536498512352211,2000,4211,paired class-stratified percentile
PolitiFact,lr,accuracy,0.6676923076923077,0.6666666666666666,-0.0010256410256410664,-0.018461538461538418,0.016410256410256396,2000,4211,paired class-stratified percentile
PolitiFact,lr,balanced_accuracy,0.670427807486631,0.674331550802139,0.0039037433155080237,-0.01358288770053473,0.02133823529411766,2000,4211,paired class-stratified percentile
PolitiFact,lr,macro_f1,0.6662990568907818,0.6664294609500089,0.00013040405922704057,-0.016965342645061256,0.017698611580421394,2000,4211,paired class-stratified percentile
PolitiFact,nb,accuracy,0.6205128205128205,0.6071794871794872,-0.013333333333333308,-0.029743589743589705,0.0020512820512820244,2000,4211,paired class-stratified percentile
PolitiFact,nb,balanced_accuracy,0.6395721925133689,0.6264171122994653,-0.013155080213903658,-0.029200534759358267,0.002513368983957265,2000,4211,paired class-stratified percentile
PolitiFact,nb,macro_f1,0.6188186813186813,0.6052594024742046,-0.013559278844476719,-0.029935821609207224,0.0023206823295324427,2000,4211,paired class-stratified percentile
PolitiFact,rf,accuracy,0.5876923076923077,0.5876923076923077,0.0,0.0,0.0,2000,4211,paired class-stratified percentile
PolitiFact,rf,balanced_accuracy,0.5995187165775402,0.5995187165775402,0.0,0.0,0.0,2000,4211,paired class-stratified percentile
PolitiFact,rf,macro_f1,0.587594696969697,0.587594696969697,0.0,0.0,0.0,2000,4211,paired class-stratified percentile
PolitiFact,svm,accuracy,0.6758974358974359,0.6615384615384615,-0.014358974358974375,-0.030794871794871795,0.0010256410256410664,2000,4211,paired class-stratified percentile
PolitiFact,svm,balanced_accuracy,0.6827807486631017,0.6692513368983957,-0.013529411764706012,-0.031016042780748654,0.0020855614973261938,2000,4211,paired class-stratified percentile
PolitiFact,svm,macro_f1,0.6755257304620361,0.6613157894736843,-0.014209940988351821,-0.030996864596783184,0.0011823811738491017,2000,4211,paired class-stratified percentile
