model,model_name,pipeline,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
svm,Linear SVM,fixed,0.9412889272581729,0.0024264352888748605,0.9402674413137037,0.00258613954353689,0.9408705480348404,0.0024612994936892042
svm,Linear SVM,selected,0.9460199943087642,0.002386777353498236,0.9450114764411358,0.002430374937468491,0.9456341039268686,0.002405722908499856
